name,business_id,reviews/total,location/latitude,location/longitude,location/address,stars,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5
Fry's Food & Drug Stores & Fry's Marketplace,_Pgyo58zwlnkHJZsgo0Rcg,3,33.669655,-112.188538,"20220 N 59th Avenue
Glendale, AZ 85308",4.5,Shopping,Drugstores,,,,
Arlecchino Gelateria,LjqY98zL96sem_PxC6ZG3g,40,33.5024095,-111.9955012,"4410 N 40th St
# 5
Phoenix, AZ 85018",4.5,Food,Ice Cream & Frozen Yogurt,,,,
The Shop,vE0-p6JOWQAzp3TAO2Ef6w,5,33.4874652,-112.0650828,"Hidden House
607 W Osborn Rd
Phoenix, AZ 85013",4,Music Venues,Arts & Entertainment,Nightlife,Dance Clubs,,
Arizona Asthma & Allergy Institute,hSCZu4Kr_GNU6Lw87yXjlg,7,33.5763314,-111.8797774,"9220 E Mountain View Rd
Ste 200
Scottsdale, AZ 85258",4.5,Allergists,Doctors,Health & Medical,,,
Red Rock Buffet,n0OIZOmu5rOWSJ0-l4b6mw,13,33.5824603,-111.6787751,"10424 N Fort McDowell Rd
Fort McDowell, AZ 85264",3,Buffets,Restaurants,,,,
Tarbell's,zG_wv69bsllw_PWhOmoAKQ,106,33.5097999,-112.0122745,"3213 E Camelback Rd
Phoenix, AZ 85018",4.5,American (New),Restaurants,,,,
World Adult Kickball Association - WAKA,-u-B9Rm3DHpLThpakVXH3w,5,33.449188,-112.0772,"Phoenix, AZ 85003",4,Active Life,Sports Clubs,,,,
Seattle Espresso,-J0jhpG0rv4saq9OMh8gXw,6,33.3667149,-111.7561115,"891 N Val Vista Dr
Ste D101
Gilbert, AZ 85234",4.5,Food,Coffee & Tea,,,,
Borders Books Music Movies & Cafe,Q5AOEpbPSeixtEAR6l1vEA,5,33.4235796,-111.9392896,"699 S Mill Ave, Ste 119
Tempe, AZ 85281",2.5,Music & DVDs,"Books, Mags, Music & Video",Shopping,Bookstores,,
Dutch Bros. Coffee,EXmWz2eaKTGNIf3FJUlVZA,64,33.5093758,-112.0742672,"4 W Camelback Rd
Phoenix, AZ 85013",4.5,Food,Coffee & Tea,,,,
Pleasant Harbor Marina,cOcVUkT1nYdbliO8Vx5iaA,4,33.8547357596,-112.2706604004,"40202 N 87 Avenue Peoria
Phoenix, AZ 85018",4,Active Life,Boating,,,,
A & B Photos,NbjyUsShOLe1rA-nnin-bA,3,33.313553,-111.864595,"1232 W Galveston St
Chandler, AZ 85224",5,Photographers,Event Planning & Services,,,,
Tempe Center for the Arts,hrnvVr3hmb2oD3oUnJrNSw,23,33.43188,-111.948667,"700 W Rio Salado Pkwy
Tempe, AZ 85281",5,Arts & Entertainment,Performing Arts,Music Venues,Art Galleries,Nightlife,Shopping
Dara Thai,5nrEG6lFlKfr-OluekbsTw,36,33.8645537841,-112.1377408504,"3655 W Anthem Way
Ste B-127
Anthem, AZ 85086",4,Thai,Restaurants,,,,
Smart Construction,Qa-9mh8ufc31XJqDTrpbVA,5,33.617394,-111.912171,"7707 E Acoma Dr
Scottsdale, AZ 85260",3.5,Home Services,Contractors,,,,
Summit Cleaners,-dAVih5pWe7DEohm3tF69A,3,33.6117897,-111.9783582,"4760 E Thunderbird Road
Phoenix, AZ 85032",3.5,Local Services,Dry Cleaning & Laundry,,,,
Salt River Fields at Talking Stick,PO2JBrCFcxd5ne-7ewDwdw,59,33.5533766,-111.8916321,"7555 N Pima Rd
Scottsdale, AZ 85258",4,Arts & Entertainment,Stadiums & Arenas,,,,
Gamestop,4slO7yWhHVE3V1URzg-Nyw,4,33.522372,-112.09641,"1703 W Bethany Home Rd
Phoenix, AZ 85015",4,Electronics,Shopping,,,,
Lukes Of Chicago,lLU7Q9fWurssDHHFUAxmxg,31,33.3203054,-111.8904419,"2855 W Ray Rd
Chandler, AZ 85224",3.5,Hot Dogs,Sandwiches,Restaurants,,,
Grandma's Kitchen,97AFYADGuOJX-mx8YPFZpg,23,33.4149566,-111.8400473,"405 W Main St
Mesa, AZ 85201",3,Breakfast & Brunch,American (Traditional),Restaurants,,,
The Breadfruit,cLojUtqkFpVIHFEvA_5Atw,198,33.4556584,-112.0719926,"108 E Pierce St
Phoenix, AZ 85004",3.5,Bars,Caribbean,Nightlife,Lounges,Restaurants,
Godiva Chocolatier,KxsOOasb-vP56d86U8lTsA,6,33.5025941,-111.9296765,"7014 E Camelback Rd
Ste 1092
Scottsdale, AZ 85251",5,Food,Specialty Food,Candy Stores,,,
Humble Pie,yypKLRJxSjR2uNaTS_O6pw,123,33.5266038,-111.924627,"6149 N Scottsdale Rd
Scottsdale, AZ 85250",3.5,Pizza,Restaurants,,,,
Kimbur Pet Care,jWIdwys1qisHa93seORskQ,8,33.6071869,-112.3933836,"PO Box 9033
Surprise, AZ 85379",4,Pet Services,Pet Boarding/Pet Sitting,Pets,,,
Stonecreek Golf Club,0Vty6xYvihX-kmsocY1HWQ,15,33.595619,-111.984512,"4435 E Paradise Village Pkwy S
Phoenix, AZ 85032",3,Active Life,Wedding Planning,Golf,Event Planning & Services,,
United Beauty Supply & Wigs,ML8bLRIcWCbBqRfCQSLAKw,3,33.6387316,-112.1895835,"6070 W Bell Rd
Ste A105
Glendale, AZ 85308",2.5,Shopping,Cosmetics & Beauty Supply,Beauty & Spas,,,
Cvs Pharmacy,0xJnnx_oYYZb9pBmzzGIlg,7,33.640307,-111.861996,"10160 E Bell Rd
Scottsdale, AZ 85260",2.5,Shopping,Drugstores,,,,
Express Solar Protection,jOSnxb3RdIGJjc66ZUPrAQ,9,33.592624,-112.371176,"11949 N 144th Dr
Surprise, AZ 85379",5,Shades & Blinds,Home Services,Contractors,,,
The Grapevine,z6vO1HR8L2iW4avr610XKw,89,33.494295,-111.924219,"4013 N Brown Ave
Scottsdale, AZ 85251",3,Restaurants,American (New),Karaoke,Nightlife,,
Chicago Hamburger Co,iNvY0zAlaD_ye7Z6rHu-Ug,153,33.495084,-111.999963,"3749 E Indian School Rd
Phoenix, AZ 85018",4,Burgers,Hot Dogs,Restaurants,,,
Royal Gyros,XGK7mKZJQtJa77Izhx6xyQ,6,33.669826,-112.239255,"8275 W Lake Pleasant Pkwy
Peoria, AZ 85382",4,Mediterranean,Restaurants,,,,
Denny's Restaurant,-UHDEY88hqUtrTPWfQ5CgQ,5,33.38463,-111.925863,"4403 S Rural Road
Tempe, AZ 85282",4,Restaurants,,,,,
Eddie Chan's Asian Bistro,XZZBFKfxi_I8RFla028zmw,9,33.670381,-111.90617,"20581 N Hayden Rd
Scottsdale, AZ 85255",4,Asian Fusion,Restaurants,,,,
Buffalo Bill's Trading Post,TBVBZLBsaB3NuOJ5hnbGrg,8,33.829967,-111.932838,"6245 E Cave Creek Rd
Cave Creek, AZ 85331",5,Shopping,Home & Garden,,,,
The Light Bulb Store,8WbbWGCWR6uUOLHYv0vl1w,3,33.4840002,-111.926329,"7190 E Earll Dr
Scottsdale, AZ 85251",5,Lighting Fixtures & Equipment,Home Services,,,,
Paradise Bakery,t-0I_HBqj1B1IriLab508Q,16,33.3791738,-111.7571117,"3426 E Baseline Rd
Ste #119
Mesa, AZ 85204",3.5,Bakeries,Food,,,,
On The Green Sports Grill,4YiayKmzqRao1UNb8Xh0Bw,3,33.399883,-111.68413,"801 S Power Rd
Mesa, AZ 85206",4.5,American (New),Restaurants,,,,
Rudy's Burritos,Rg4dHuszzF0Mb4yqtoHSiA,35,33.377437,-111.634661,"9221 E Baseline Rd
Mesa, AZ 85209",4,Mexican,Restaurants,,,,
JcPenney,RnL2Ax2Tk6SptrM0wUX7Ew,6,33.601601,-111.986662,"4510 East Cactus Rd
Phoenix, AZ 85032",3,Department Stores,Fashion,Shopping,,,
Planet Hugger,MMMHmbfq3nxUQREU4hKOKg,8,33.381179,-111.922751,"4657 S Lakeshore Dr
Ste 4
Tempe, AZ 85282",3,Home Cleaning,Home Services,,,,
Pasta -N- More,jfzBB5Z7VTsABFT4saJ8tw,11,33.6211782,-111.8976987,"14880 N Northsight Blvd
Ste 103
Scottsdale, AZ 85260",4.5,Restaurants,Italian,,,,
Red Robin Gourmet Burgers,Q337sJLaPPiKCsoIoSEWGg,24,33.3099438139,-111.7463793357,"2235 S SanTan Village Pkwy
Gilbert, AZ 85295",3.5,Burgers,Restaurants,,,,
Motor Vehicle Division,DTFy9-NuZBjBEd9Zcoo94g,4,33.3736289,-112.0708546,"221 E Olympic Dr
Phoenix, AZ 85042",3,Departments of Motor Vehicles,Public Services & Government,,,,
Paradise Bakery,B54ozdLlH5ozkwnweskhYg,26,33.2618154,-111.8605436,"1075 W Queen Creek Rd
Chandler, AZ 85248",3.5,Sandwiches,Restaurants,,,,
Aspen Leaf Frozen Yogurt,7NKBHVMIjnsO2OmcAfsC_w,4,33.2353630066,-111.7219619751,"6318 S Higley Rd
Ste 106
Gilbert, AZ 85298",4,Food,Ice Cream & Frozen Yogurt,,,,
Crust Pizza & Wine Cafe,kK4AzZ0YWI-U2G-paAL7Fg,91,33.5381023,-111.9085317,"6989 N Hayden Rd
Ste 9
Scottsdale, AZ 85250",4,Caterers,Pizza,Event Planning & Services,Restaurants,,
Arizona School For the Arts,Z9GH9bo8SHKx3oOokhHLyw,4,33.4586159,-112.0686873,"1410 N 4rd St
Phoenix, AZ 85004",3.5,Elementary Schools,Middle Schools & High Schools,Education,,,
Deseret Industries,tkO9kZU9XTwCTaCO6_jPXA,3,33.5539572,-112.1169812,"8030 N 27th Ave
Phoenix, AZ 85051",4,Thrift Stores,"Used, Vintage & Consignment",Fashion,Shopping,,
The Deli,TuuENwzxOFdDLY_oKCbFZw,109,33.2125748081,-111.6752675352,"18914 E San Tan Blvd
Queen Creek, AZ 85242",4.5,Delis,Sandwiches,Restaurants,,,
Port of Subs,-aDuOZelvBHWKh-NrXooow,13,33.609811,-112.119194,"2737 W Thunderbird Rd
Phoenix, AZ 85053",4,Sandwiches,Restaurants,,,,
Mardi Gras Costume Shop,uPGeM_erzusd2oRc6rZvyg,12,33.5219126,-111.9000474,"5895 N Granite Reef Rd
Scottsdale, AZ 85250",5,Shopping,Beauty & Spas,Arts & Crafts,Costumes,Cosmetics & Beauty Supply,Wigs
T.C. Eggington's,nvaAUTTl7oqiJDhuimNG6A,128,33.384398,-111.858873,"1660 S Alma School Rd
Ste 129
Mesa, AZ 85210",4,Breakfast & Brunch,Restaurants,,,,
Checker Auto Parts,urKnXsjRhTaNsqkRGcSx1g,4,33.52479,-112.064421,"702 E Bethany Home Road
Phoenix, AZ 85014",5,Automotive,Auto Parts & Supplies,,,,
Panda Express,jYXgsMgpoGm1ZrHYT0CM0w,9,33.4222436,-111.9349687,"777 S College Ave
Tempe, AZ 85281",3,Chinese,Restaurants,,,,
Empire Air Conditioning,UeHMkdqyWTEH3jg6jEMiew,3,33.5413664,-112.1787896,"West
Glendale, AZ 85301",2.5,,,,,,
Fresh Wasabi Sushi & Grill,MhkZLdUFaHt5SDcQcqOWQg,69,33.638937,-112.3553813,"13732 W Bell Rd
Ste 2
Surprise, AZ 85374",3.5,Sushi Bars,Japanese,Restaurants,,,
Walmart,mNkeCEBLdij7wYqT7DE4ag,4,33.4788092,-112.253741,"8921 W Thomas Rd
Phoenix, AZ 85037",2.5,Shopping,,,,,
Yollipop,R7fAXkib9dnkYtFqOv1HDA,12,33.220295,-111.867508,"1065 W Queen Creek Rd
Ste 1
Chandler, AZ 85286",3,Food,Ice Cream & Frozen Yogurt,,,,
Dj's Smoke Shop,ULDKKycIal3x589V-yEfmg,5,33.3931315,-111.876124,"2034 W Southern Avenue
Mesa, AZ 85202",2.5,Tobacco Shops,Shopping,,,,
Over Easy,Cz0McL5lUaihqOIw0_Yo7w,103,33.639241,-111.881719,"9375 E Bell Rd
Scottsdale, AZ 85255",3.5,Breakfast & Brunch,Restaurants,,,,
Peter Piper Pizza,WfCqK14lbTLRDgjMNDEa_g,4,33.3782766,-111.9077007,"1805 E Baseline Road
Tempe, AZ 85283",4,Pizza,Restaurants,,,,
Phoenix City Grille,Pfb6VOIiroqDWOebfgWGPQ,129,33.5229858,-112.0476585,"5816 N 16th St
Phoenix, AZ 85016",4,American (New),Restaurants,,,,
Einstein Bros Bagels,OY576QqMcpLD8yGq8lVR5Q,8,33.6108882,-112.1849193,"5890 W Thunderbird Rd
Glendale, AZ 85306",3.5,Food,Bagels,Delis,Restaurants,,
Venezia Bakery,gVag_jYdqq3RkIDSvrX2lA,3,33.4280294,-111.8936083,"207 S Siesta Lane
Tempe, AZ 85281",5,Bakeries,Food,,,,
Nike at Scottsdale Quarter,Q87G5ezBUhqjQ1xHfZ3fSA,14,33.6235377,-111.925553,"15147 N Scottsdale Rd
Ste 180
Scottsdale, AZ 85260",3.5,Sporting Goods,Fashion,Shopping,Shoe Stores,Sports Wear,
K-9 Games,mW9vk3MvfKhUNLm1-DrR_Q,3,33.617734,-112.235972,"8214 W Acoma Dr
Peoria, AZ 85381",4.5,Pet Services,Pet Training,Pets,,,
Scottsdale Waterfront,c_Hgu6zirKI2l71TAhrTRQ,17,33.5029968,-111.9266886,"7150 E Camelback Rd
Scottsdale, AZ 85251",2.5,Local Flavor,,,,,
Walgreens,4yFqLSaKpWE7O_ATQ2BqrA,9,33.3924711,-111.9098443,"1745 E Southern Ave
Tempe, AZ 85282",3,Shopping,Drugstores,Beauty & Spas,Food,Convenience Stores,Cosmetics & Beauty Supply
Advanced Urgent Care,xtGPxmqw37SZylUPcJ1MHQ,3,33.566938,-112.111737,"2423 W Dunlap Avenue
Suite 150
Phoenix, AZ 85021",3,Health & Medical,Hospitals,,,,
Moreno's Mexico Grill,UJBSI5HydQgUhlTkC8ODDw,16,33.40815,-111.814495,"760 E Broadway Rd
Mesa, AZ 85204",4,Mexican,Restaurants,,,,
Salvadoreno Restaurant,7IlOc6v_wHXLm5GFPGF0Fg,3,33.4090027,-111.7884199,"330 S Gilbert Rd
Ste 20
Mesa, AZ 85204",3,American (Traditional),Restaurants,,,,
Korean BBQ,7PS_ozDjv5NnpdZGcOsDvQ,28,33.3659439,-111.8587464,"2711 S Alma School Rd
Ste 14
Mesa, AZ 85210",3.5,Korean,Restaurants,,,,
Club Nails,B4xn_NKWY14lAdYwCC8_jQ,3,33.2937998,-111.7218861,"3126 S Higley Road
Gilbert, AZ 85297",3,Beauty & Spas,Nail Salons,,,,
Rio Vista Community Park,b_i5IvnPAv8Supc3p_e2Cw,20,33.6098767,-112.2506658,"8866 W Thunderbird Rd
Peoria, AZ 85345",4.5,Active Life,Playgrounds,Parks,,,
Guns Plus,-6yIYUuwYcZnClI_8_ojVg,3,33.63636,-112.37466,"16551 N Dysart Rd
Ste 107
Surprise, AZ 85374",2.5,Active Life,Martial Arts,Fitness & Instruction,,,
Broadway Coin Laundromat,4dUzwOH_3A6BU1A6Vyj2Kw,5,33.406846,-111.907542,"1845 E Broadway Rd
Tempe, AZ 85282",3.5,Local Services,Dry Cleaning & Laundry,,,,
Raining Cats & Dogs Pet Salon,YpM4F0JFWX9OpaC4qSsr2w,6,33.5841629,-111.927447,"10636 N 71st Way
Scottsdale, AZ 85254",3.5,Pet Services,Pets,,,,
Kokomo Frozen Yogurt,zp5k6funVelIOVuqdY0mDA,52,33.261388,-111.857235,"3125  S Alma School
Ste 7
Chandler, AZ 85248",4.5,Food,Ice Cream & Frozen Yogurt,,,,
Vermont Sandwich Company,eJpr6Ks8pr4bmvDVPTN-Xg,76,33.5690606323,-111.8900930322,"8880 E Via Linda
Ste 104
Scottsdale, AZ 85258",4.5,Sandwiches,Restaurants,,,,
Great Clips For Hair,v0ozmsV131z3de5p_-w3iQ,5,33.510164,-111.911516,"7908 E Chaparral Rd
Scottsdale, AZ 85250",3,Hair Salons,Beauty & Spas,,,,
Bliss Spa,8zF3m-KbRssbJrgv6sJnMg,20,33.493947,-111.922301,"W Hotel
7277 E Camelback Rd
Scottsdale, AZ 85251",4.5,Day Spas,Beauty & Spas,,,,
Little Caesars,o2e_M8SqL6IJ9_Ih0yQkMA,4,33.4072397,-111.9272628,"711 E Broadway
Tempe, AZ 85282",2.5,Food,,,,,
Valley Nails,aWbvOOOhlRIVXBansfLdEQ,7,33.317906,-111.964138,"7131 W Ray Road
Chandler, AZ 85226",4,Beauty & Spas,Nail Salons,,,,
Skin Gravy,tSsf701lPVTw9MRzmDp-FQ,4,33.289903,-111.773272,"3303 S Lindsay Rd
Ste 109
Gilbert, AZ 85297",3.5,Beauty & Spas,Hair Removal,Medical Spas,Skin Care,Health & Medical,Laser Hair Removal
Long Wongs,gBexinoctpKpwhyxAMZ_wA,5,33.480276,-112.2208861,"7502 W Thomas Rd
Phoenix, AZ 85033",2,American (Traditional),Restaurants,,,,
QuikTrip,JyI-Gm_iSeBwv3kXPLRAlQ,6,33.6550454,-112.029826,"2450 E Union Hills Rd
Phoenix, AZ 85027",5,Automotive,,,,,
Bosa Donuts,mSbFLlDB5Qu-6al1e2DSBw,53,33.466199,-111.919834,"7444 E McDowell Rd
Scottsdale, AZ 85257",4.5,Food,Donuts,,,,
Cyclo Vietnamese Cuisine,UIGFrEcoDsw05I1UOrxdOA,104,33.306501,-111.875221,"1919 W Chandler Blvd
Chandler, AZ 85224",3.5,Vietnamese,Chinese,Restaurants,,,
Subway,FucrEEO2laIlAnIZ_n6cTA,5,33.662594,-112.030244,"19401 N Cave Creek Rd
Ste 1
Phoenix, AZ 85024",2.5,Fast Food,Sandwiches,Restaurants,,,
PastaBAR,r3r_bAfa6pZKIhQB82FizQ,113,33.455863,-112.072167,"705 N 1st St
Phoenix, AZ 85004",3.5,Restaurants,Italian,,,,
Pet Safari,MzMu6VKY_PTsoaOHD8OFLQ,5,33.639493,-112.057685,"1107 E Bell Rd
Phoenix, AZ 85022",3.5,Pets,Pet Stores,,,,
Sushi Time,y8a480EiwWikqlR1inkGxg,28,33.3792532,-111.9285013,"5136 S Rural Rd
Tempe, AZ 85282",3.5,Sushi Bars,Restaurants,,,,
Greg S Comics,WS_QVRBLmQ8g8LTb99pB1A,3,33.365327,-111.860206,"2722 S Alma School Rd
Mesa, AZ 85210",5,Comic Books,Shopping,"Books, Mags, Music & Video",,,
Great Choice Chiropractic,T09QUM1nYuuvogPeDFkkEA,3,33.303609,-111.987378,"15810 S 45th St
Ste 160
Phoenix, AZ 85048",5,Health & Medical,Chiropractors,,,,
Augusta Ranch Animal Hospital,HuJ4lmlWFNAhIb3wETG3ng,4,33.365739,-111.635219,"2721 S Ellsworth Road
Suite 101
Mesa, AZ 85209",3.5,Veterinarians,Pets,,,,
Walt's BBQ,LNcnrgITSvZkPBdxbbXbbA,4,33.467119,-112.3392713,"1729 N Dysart Rd
Suite 102
Avondale, AZ 85392",4,Barbeque,Restaurants,,,,
Big 5 Sporting Goods,qPFeVWE6EgoPWEVZCU0hPg,3,33.639431,-112.177138,"5490 W Bell Road
Glendale, AZ 85308",2.5,Sporting Goods,Shopping,,,,
